k,silhouette_avg
2,0.2817002353636187
3,0.22424876686472875
4,0.1992875544889781
5,0.18342434019996257
6,0.14543642752884445
7,0.13131230096310623
8,0.13701423689904943
9,0.13076132452392758
10,0.12040358543925311
