"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05013629",3.13927087927859,0.497377563717303,2.10182236349353,3.13823175239077,4.20846321210893,13856.25,TRUE
"E05013630",3.28693175073101,0.470085478621753,2.3677355417519,3.27475659833671,4.27683772758109,18221.25,TRUE
"E05013631",3.67298871923727,0.523409903288132,2.79538163374575,3.60006695651559,4.91610740408611,16772.5,TRUE
"E05013632",3.45658392830923,0.507486764802376,2.39715778737585,3.45891415066839,4.49326084101574,9921.25,FALSE
"E05013633",3.92315078965339,0.509915991107546,2.9922695902489,3.87114369647532,5.11351597761355,16640.5,TRUE
"E05013634",3.29386969243298,0.480451663268968,2.30481025641025,3.29021096933519,4.30297991908486,8982,TRUE
"E05013635",3.27914345659848,0.497296374323626,2.30139676711768,3.26428321430203,4.35488576428833,15222.5,TRUE
"E05013636",3.47673501555153,0.473102576268575,2.52259843702396,3.46930458034903,4.50861358549866,14266.75,TRUE
"E05013637",3.19367351552499,0.495954050447901,2.08038255785505,3.24074460240078,4.10835608254508,16755.25,TRUE
"E05013638",3.20127741906304,0.513512767780177,2.16050152197372,3.19556711270233,4.28263303073723,9804.5,FALSE
"E05013639",3.22821298634782,0.503582585849425,2.0902042982483,3.27122790304306,4.15381942947991,16130,TRUE
"E05013640",3.35166708509481,0.491941236408839,2.36020332231655,3.34004970978636,4.39570045092192,16429.25,TRUE
"E05013641",3.21639331917718,0.477770718087403,2.16452885611649,3.23268196911174,4.16928544506755,10317.75,TRUE
"E05013642",3.25728016335916,0.503028360796479,2.16125024084067,3.26836272066329,4.28934528984557,11550.75,TRUE
"E05013643",3.40552895981974,0.491161115832452,2.37509946057446,3.41258867974102,4.42547373467464,18378.25,TRUE
"E05013644",3.09144106545306,0.463522713407894,2.13584266039691,3.09869483141711,4.032118026203,10295.5,TRUE
"E05013645",3.26820179544828,0.493603215272833,2.25646696497862,3.26576739047235,4.29109823773901,15538.75,TRUE
"E05013646",3.20313030202787,0.501166747892228,2.1189062540983,3.24636033029329,4.13581182857777,12267.25,TRUE
"E05013647",3.24423193304876,0.521915618926702,2.28642545371564,3.19455660192881,4.40765979583811,10587,TRUE
"E05013648",3.13527683387684,0.549596022857641,1.83931646294786,3.2287802964172,4.01238953078357,16553.75,TRUE
"E05013649",3.4706077738941,0.502364208309162,2.44541002669665,3.47427866552531,4.5036124932292,15003.25,TRUE
"E05013650",3.30110165619018,0.505343984252483,2.2482234744824,3.30566897919933,4.34885253292573,9269.5,TRUE
"E05013651",3.35282665827945,0.514206070494971,2.3075598218758,3.33408528983525,4.48280623314119,12017.5,TRUE
"E05013652",4.02241200833803,0.501326914805059,3.02080362062178,4.01051743630108,5.10540261601611,10724.5,TRUE
"E05013653",3.07413963808472,0.507036989589314,2.03789038222033,3.08268843147273,4.08485268714762,10565.75,TRUE
"E05013654",3.60049419245143,0.520953207563042,2.46493119020292,3.61249723718969,4.6353053755934,6736.5,TRUE
"E05013655",3.39351819771957,0.525509551055157,2.21808450477977,3.44486221987523,4.33486641403473,5755,TRUE
"E05013656",3.80707100365949,0.511043171231646,2.71560849838791,3.8341425812094,4.77084817767962,10019,TRUE
"E05013657",3.68764828172214,0.497936956427319,2.68215127229274,3.67743250321917,4.73206429640386,6627.5,TRUE
"E05013658",3.62048138942534,0.521073419374082,2.62008341665196,3.5825762969816,4.78482407738188,10145.75,TRUE
"E05013659",3.6733925353662,0.509956356901025,2.63885102235651,3.66557722550668,4.75940243863767,6982.25,FALSE
"E05013660",3.54155403965248,0.509604274608778,2.52463390941401,3.52412657052215,4.64994975127662,10451.75,TRUE
