"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05013785",7.25705139273878,0.524513555655861,6.20847863608282,7.26090995954672,8.27174330809628,10019.25,TRUE
"E05013786",7.34009734266714,0.4651355297111,6.42895165443868,7.34132326160427,8.23301602595826,9591,TRUE
"E05013787",6.87538412109053,0.624365026896232,5.6465431205443,6.87569160417722,8.0726847199568,9101.75,FALSE
"E05013788",7.52545437174747,0.428342438847075,6.68703397012454,7.52514144843948,8.35408575446218,9146,TRUE
"E05013789",7.03234204680449,0.425883058559695,6.2057579924739,7.03207306359051,7.87693621862574,9458,TRUE
"E05013790",6.72720934598166,0.631868604079976,5.48332707229513,6.73185767695771,7.96775726993475,9346,FALSE
"E05013791",6.43968953385067,0.554768781562408,5.34689092492146,6.44259052679059,7.50483821194697,8911.25,TRUE
"E05013792",6.82593975400392,0.614673635742248,5.604501487072,6.82163988765142,8.02962854369346,11530.5,FALSE
"E05013793",6.95042654777146,0.611182856863478,5.74767640086469,6.9509375660426,8.15202462970203,11297.75,FALSE
"E05013794",5.8381300652957,0.519997839354609,4.82222065793533,5.84027220348083,6.85309164788983,10193,TRUE
"E05013795",6.61953224587968,0.483481315426863,5.68560571080573,6.62251154622474,7.583872343156,10119.75,TRUE
"E05013796",6.71248099163249,0.614079566403788,5.50874356666443,6.71195476173166,7.92065170046106,9432.5,FALSE
"E05013797",6.8785269754588,0.583785836664406,5.74215343217943,6.8742216193329,8.03381242822286,9998.25,TRUE
"E05013798",7.07714620848476,0.55185673682104,6.01851546910589,7.06624790206867,8.13439838728318,10188,TRUE
"E05013799",6.12707310616963,0.482833131248272,5.17147075555541,6.12570737044765,7.06762681331723,9241,TRUE
"E05013800",6.94306254187386,0.569801416343057,5.84130554114025,6.94725306653578,8.0772482881426,10254.25,TRUE
"E05013801",6.98834007510348,0.5531410700818,5.87593786302236,6.99145014780625,8.08205545162284,11214.5,TRUE
"E05013802",7.00282760204803,0.451707057303426,6.1199706631838,7.00338846600086,7.90372190639679,9557.25,TRUE
"E05013803",6.49598923123132,0.626387441234945,5.25718186385963,6.49729037900521,7.73420951375073,9529.75,FALSE
"E05013804",6.34315844091271,0.432209291174779,5.47564765155036,6.3452797024484,7.18620210801652,11080.75,TRUE
"E05013805",6.88143746794002,0.611692392667278,5.66345209781036,6.87762712789268,8.07954191012944,10549,FALSE
"E05013806",6.13044928033575,0.503131605778515,5.12816819353839,6.13247811618569,7.11837462690856,9620.25,TRUE
"E05013807",6.59190291161893,0.504579670785994,5.60594735739131,6.59637974380917,7.5685847110274,9350.75,TRUE
"E05013808",7.19529119796015,0.550484908855116,6.11990232672726,7.19118697208168,8.31243675690689,10845.5,TRUE
"E05013809",6.32116833000232,0.521816204641002,5.30936615462903,6.31893192070266,7.35411123080735,10156.5,TRUE
"E05013810",7.40193587048201,0.479966883653288,6.47389754478956,7.40024354467823,8.34939275582212,9106.5,TRUE
"E05013811",6.26037338156657,0.426874817479653,5.43341508784785,6.25582669408315,7.09002299470465,8347,TRUE
"E05013812",7.14174187551965,0.503220751411561,6.15533889306776,7.14493408192101,8.13482519847747,10275,TRUE
"E05013813",5.57431478790819,0.427042235866782,4.74444883819622,5.5696125391676,6.42050822963894,9755,TRUE
"E05013814",6.32567283344758,0.556660641433675,5.23592816057018,6.31653787656908,7.42689892397361,9886.25,TRUE
"E05013815",6.78895750650329,0.529347281277265,5.75498940824298,6.78516640577196,7.82195752733918,10212.25,TRUE
"E05013816",7.37503998102396,0.577414032820142,6.25790150112373,7.37583540316097,8.51320163748033,7231.5,TRUE
"E05013817",4.91983475030493,0.515352374555612,3.91254589500115,4.92375829610983,5.90315686691026,9737.5,TRUE
"E05013818",6.60500307711087,0.5905032997646,5.42983003056769,6.59654379132856,7.74701189529254,10068.75,TRUE
"E05013819",6.5567580657279,0.412212244548172,5.75343456132358,6.55562840714947,7.35879013423273,9707.5,TRUE
"E05013820",6.75070568662047,0.621916484789123,5.52301145314591,6.73957072979403,7.97227735825537,7074.5,FALSE
"E05013821",6.51965032878052,0.488571801100939,5.56716688860575,6.51259306511368,7.47531566650875,9727.5,TRUE
"E05013822",6.81731927733932,0.49283562020191,5.84614765987832,6.81163557967274,7.78337866663072,8051,TRUE
"E05013823",7.27504944408909,0.528210853132241,6.23307848677371,7.26975864150647,8.33979963355277,10429.25,TRUE
"E05013824",6.64091437453889,0.416545904088046,5.82648269828951,6.64837431078319,7.45242804237484,9562.25,TRUE
"E05013825",6.93714141627492,0.617885431201854,5.74266158886217,6.93482248378869,8.1633512547243,10241,FALSE
"E05013826",6.92634023878447,0.586542159575013,5.77902246228157,6.923692597686,8.06915858504611,4848.5,TRUE
"E05013827",6.19228441722337,0.468264685526813,5.27894710544628,6.19125991280977,7.08017569105187,8990.75,TRUE
"E05013828",7.13667493972551,0.579283150878023,6.00789429911936,7.14185394495037,8.27552556315639,9217,TRUE
"E05013829",7.50785463749174,0.525089510334063,6.48904145464803,7.51032675844158,8.5437188233218,10914,TRUE
"E05013882",5.6224432905496,0.425032140355533,4.7807992607878,5.62292042330783,6.48069900300411,13750.25,TRUE
"E05013883",6.15505838416566,0.417832207985746,5.34296153489653,6.15766641567258,6.96538955531712,9119.75,TRUE
"E05013884",6.79703792740928,0.507440993617408,5.80396306764936,6.7905609894131,7.78263460268085,11294,TRUE
"E05013885",6.16259524933124,0.358833073528818,5.45459248101924,6.16166496414508,6.86895880267074,9877.25,TRUE
"E05013886",6.65557923918981,0.467630954726496,5.75681890741648,6.65404041403089,7.5617298915176,7971.25,TRUE
"E05013887",6.6670575668129,0.495549829571026,5.70587511056933,6.66311361895539,7.6321629385849,14377,TRUE
"E05013888",6.62938268512794,0.391665177052,5.86916035166309,6.62658797226351,7.40411990964372,12767.25,TRUE
"E05013889",6.56237560767837,0.5231299318969,5.54291160887662,6.55304455823461,7.61069201578573,8187.75,TRUE
"E05013890",6.32642644697336,0.412611261890296,5.52116051914821,6.33057134939321,7.12625417419264,11053,TRUE
"E05013891",5.79323305589105,0.55403619224888,4.69276475766268,5.80376865050811,6.84986157295961,9914,TRUE
"E05013892",6.02519808168651,0.537516772866501,4.94734619918238,6.02536283526417,7.06418184620572,11842.25,TRUE
"E05013893",6.45832121764667,0.6158217583825,5.26585192405028,6.45872532022632,7.69331138119504,12208.25,FALSE
